SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
102-080-2	02 PİN	       FORD         	FORD MÜŞÜR SOKETİ (2 PİN)		2K018F
102-081	02 PİN	       FORD         	51-1118 FORD MUSUR SOKETI *** SİYAH ( 2 PIN )		2038 2K038 5772 2S089 2038 2K038
102-081-1	02 PİN	       FORD         	51-1118-1 MUSUR SOKETI *** GRİ ( 2 PIN )		2038C 2K038C
102-081-2	02 PİN	       FORD         	51-1118-2 FORD MUSUR SOKETI ( 2 PIN )		2038C 2K038C 2S087 2038C
102-081-3	02 PİN	       FORD         	51-1118-3 FORD MÜŞÜR SOKETİ *** SİYAH / ALT TIRNAK		2038B 2038B 2K038B
102-081-4	02 PİN	       FORD         	51-1145 FORD MUSUR SOKETI  ___*** SİYAH / *** KÜÇÜK  ( 2 PIN )		2038A 2K038A 9695A 2S086 2038A 2K038A
102-081-5	02 PİN	       FORD         	FORD MÜŞÜR SOKETİ  *** KAHVERENGİ (2 PİN)		2038D 2K038D 2S088 2038D
102-081-6	02 PİN	       FORD         	FORD FOCUS I ISI & HARARET MUSUR SOKETI *** SİYAH *** ÜSTTEN TIRNAKLI		2038F 2K038F 2S090 2038F 2K038F
102-081-7	02 PİN	       FORD         	FORD MÜŞÜR SOKETİ *** SİYAH (2 PİN)		2K038G 2K038G
102-081-8	02 PİN	       FORD         	FORD MÜŞÜR SOKETİ (2 PİN)		2K038H
102-082	02 PİN	 FIAT               	51-1469 FIAT SOKET ( 2 PIN )		2061 2K061 2S103 2061 2K061
102-082-1	02 PİN	 FIAT               	FIAT MÜŞÜR SOKETİ ( 2 PIN )		2099
102-083	02 PİN	        NISSAN        	51-1625 NISSAN ENJEKTÖR SOKETİ - PATHFINDER R50  ( 2 PIN )		2075A 2K075A 2K061
102-084	02 PİN	RENAULT   OPEL     NISSAN        	51-1132 RENAULT /OPEL / DACIA / NISSAN PARK-SARJ SOKETI SIYAH ( 2 PIN )		2022 2K022 5508A 2S177 2022 2K022
102-084-1	02 PİN	RENAULT   OPEL     NISSAN        	51-1132-1 RENAULT /OPEL / DACIA / NİSSAN PARK-SARJ SOKETI GRI ( 2 PIN )		2022B 2K022B 5508B 2S175 2022B 2K022B
102-084-2	02 PİN	RENAULT   OPEL     NISSAN        	51-1132 RENAULT /OPEL / DACIA / NISSAN PARTİKÜL FİLTRE SENSÖRÜ SOKETİ KAHVERENGİ (2 PİN)		2022A 2K022A
102-084-3	02 PİN	RENAULT   OPEL     NISSAN        	51-1132 RENAULT /OPEL / DACIA / NISSAN PARK-SARJ SOKETI ***KARŞILIĞI SIYAH ( 2 PIN )		2022E
102-085	02 PİN	                	51-1150 JAPON SOKET ( 2 PIN )		2042A 2K042 2058 2S106 2K042
102-085-1	02 PİN	                	JAPON SOKET ( 2 PIN )		2042C 2K042B
102-085-2	02 PİN	                	51-1150 JAPON SOKET ( 2 PIN )		2042 2S107 2042 2K042
102-086	02 PİN	                	51-1154 JAPON TIPI SOKET ( 2 PIN )		2046 2K046 2046 2S124 2046 2K046
102-087	02 PİN	       FORD         	51-1135 FORD BALATA -ABS SENSOR SOKETI ( 2 PIN )		2003 2K003 5630 2S078 2003 2K003
102-088	02 PİN	       FORD         	51-1135-1 FORD BALATA-ABS SENSOR SOKETI KARSILIGI ( 2 PIN )		2003E 2K003E 5631 2S079 2003E 2K003E
102-089	02 PİN	 FIAT  OPEL             	51-1138 DELPHI SOKET ( 2 PIN )		2014
102-090	02 PİN	RENAULT                	51-1141 RENAULT  KLIMA KOMPRESOR SOKETI ( 2 PIN )		2029 2K029 5519 2S057 2029 2K029
102-091	02 PİN	                	51-1142 KLIMA KOMPRESOR SOKETI ( 2 PIN )		
102-092	02 PİN	         TOYOTA      PMC 	51-1140  JAPON - TOYOTA SU POMPA SOKETI ( 2 PIN )		2028 2K028 2S037 2028 2K028
102-093	02 PİN	               PMC 	51-1235 YAKIT POMPA SOKETI ( 2 PIN )		
102-093-1	02 PİN	               PMC 	51-1237 YAKIT POMPA SOKETI ( 2 PIN )		
102-093-2	02 PİN	               PMC 	51-1236 YAKIT POMPA SOKETI ( 2 PIN )		2010
102-094	02 PİN	       FORD         	51-1325 FORD KLIMA KOMPRESOR SOKETİ ( 2 PIN )		2053 2K053 5210 2S080 2053 2K053
102-095	02 PİN	       FORD         	51-1286 FORD KLIMA KOMPRESOR SOKET KARSILIGI ( 2 PIN )		2053E 2K053E 2S081 2053E 2K053E
102-096	02 PİN	RENAULT FIAT               	51-1241  RENAULT & FİAT ABS SOKETI ( 2 PIN ) ERKEK		9778 2S135 2K076
102-097	02 PİN	RENAULT FIAT               	51-1434 RENAULT & FİAT ABS SOKETI KARSILIGI ( 2 PIN ) DİŞİ		9779
102-098	02 PİN	                	51-1358 BOSCH TIPI CAM MOTOR SOKETI ***SARI  ( 2 PIN )		2069 2K069 2120 2069 2K069
102-098-1	02 PİN	                	CAM MOTOR SOKETİ SOKET ***KARE TİP (2 PİN)		2023 2069
102-099	02 PİN	                	51-1280 DENSO SOKET SIYAH UST TIRNAK HONDA JAPON ( 2 PIN )		2030C 5882
102-099-1	02 PİN	                	51-1280-1 DENSO SOKET GRI ( 2 PIN )		2072A 5883
102-099-2	02 PİN	                	51-1280-2    DENSO SOKET SİYAH (2 PİN)		2072 2K072 2S116 2072
102-099-3	02 PİN	                	51-1280-3 SOKET ( 2 PIN )		2030 2K030 2S118 2030 2K030
102-099-4	02 PİN	                	51-1280-4 SOKET ( 2 PIN )		2030A 2K030A 2S119 2030A
102-099-5	02 PİN	                	DENSO SOKET SİYAH (2 PİN)		2030B 2K030B
102-100	02 PİN	                	51-1151 JAPON HONDA HARARET MUSUR SOKET ( 2 PIN )		2043 2K043 5226 2S111 2043 2K043
102-100-1	02 PİN	                	51-1151-1 JAPON  HONDA HARARET  MÜŞÜR SOKETİ ( 2 PIN )		2064 2K064 5319 2S110 2064 2K064
102-101	02 PİN	       FORD         	51-1233 FORD ISI SENSOR SOKETİ SİYAH ( 2 PIN )		2025 2K025 2025 2S072 2025 2K025
102-101-1	02 PİN	       FORD         	51-1233-1 FORD ISI SENSOR SOKETİ GRİ ( 2 PIN )		2025A 2K025A 2S074 2025A 2K025A
102-102	02 PİN	                	51-1143 JAPON SOKET TIPI ( 2 PIN )		5245
102-102-1	02 PİN	                	51-1143-1 SOKET JAPON TIPI ( 2 PIN )		2042B 2062
102-102-2	02 PİN	                	51-1591 SOKET ( 2 PIN )		2077 2K077 2S105 2077
102-103	02 PİN	                	51-1152 JAPON TIPI SOKET ( 2 PIN )		2044 2K044 2S098 2044 2K044
102-104	02 PİN	          HYUNDAI      	51-1212  HYUNDAI BOBİN  JAPON  SOKET  TIPI ( 2 PIN )		2037 2K037 2S093 2037 2K037
102-104-1	02 PİN	          HYUNDAI      	51-1212  HYUNDAI BOBİN  JAPON TIPI SOKET ***KARŞILIĞI  ( 2 PIN )		2037E
102-105	02 PİN	          HYUNDAI      	51-1213 HYUNDAI BOBİN  SOKET JAPON TIPI ( 2 PIN )		2037A 2K037A 6060A 2S095 2037A 2K037A
102-105-1	02 PİN	          HYUNDAI      	51-1213 HYUNDAI BOBİN  SOKET JAPON TIPI ( 2 PIN )		2037A
102-105-2	02 PİN	                	SU FISKIYE MOTORU SOKETİ *** JAPON TIPI ( 2 PIN)		2036A 2K036A 2K036A
102-106	02 PİN	          HYUNDAI      	51-1214 HYUNDAI BOBİN SOKETİ JAPON TIPI ( 2 PIN )		2037B 2K037B 6060B 2S094 2037B 2K037B
102-107	02 PİN	                	51-1215 JAPON SU FISKIYE SOKET  TIPI ( 2 PIN )		2036 2K036 2S091 2036 2K036
102-108	02 PİN	                	51-1502 SOKET JAPON TIPI ( 2 PIN )		2037C 2K037C 2S096 2037C 2K037C
102-110K	02 PİN	               PMC 	51-1289K ÜNİVERSAL YÜKSEK AMPER SOKET KABLOLU ( 2 PIN )		2055 2K055 2055 2055 2K055
102-111	02 PİN	               PMC 	51-1288 ÜNİVERSAL YÜKSEK AMPER SOKET KARSILIGI ***KABLOSUZ DEMONTE ( 2 PIN )		2K055E
102-111K	02 PİN	               PMC 	51-1288K ÜNİVERSAL  YÜKSEK AMPER  SOKET KARSILIGI ERKEK KABLOLU ( 2 PIN )		2055E 2K055E 2056 2055E 2K055E
102-112	02 PİN	                	51-1284 ENJEKTOR SOKETI FRONTERA KALOS AVEO		2001 2K001 2S051 2001 2K001
102-113	02 PİN	                	51-1285 JAPON PARK SİNYAL  MUSUR SOKETI ( 2 PIN )		2009 2K009 2013 2S097 2009 2K009
102-114	02 PİN	                	51-1450 IS MAKINASI MUSUR SOKETI & HONDA DİST. SOKETİ ( 2 PIN )		2058 2K058 2060 2S032 2058 2K058
102-115K	02 PİN	      MERCEDES          	51-1299K DEUTSCH AXOR MÜŞÜR SENSÖR SOKETİ		2049 2K049 4050 2S157 2049 2K049K
102-116K	02 PİN	                	51-1300K İŞ MAKİNASI DEUTSCH SOKET KARSILIGI ERKEK KABLOLU ( 2 PIN )		2049E 2K049E 4051 2S158 2049E 2K049EK
102-117	02 PİN	                	51-1385  İŞ MAKİNASI DEUTSH   SOKET ( 2 PIN )	YENİ	2K049A 4025 2S159 2K049A
102-118	02 PİN	                	51-1386 DEUTSCH ERKEK  SOKET KARSILIGI ( 2 PIN )		2K049AE 4026 2S161 2K049AE
102-119	02 PİN	                	51-1471 AĞIR TİCARİ  ENJEKTOR SOKETI IS MAKINASI SİYAH ( 2 PIN )	YENİ	2066 2K066 2020 2S164 2066 2K066
102-119-1	02 PİN	                	51-1472 AĞIR TİCARİ  ENJEKTOR SOKETI IS MAKINASI GRİ ( 2 PIN )	YENİ	2067 2K067 2021 2S163 2067 2K067
102-120	02 PİN	RENAULT               PMC 	51-1557 CATERPILLER MÜŞÜR & RENAULT / SCANİA KAMYON ENJEKTÖR SOKETİ ( 2 PIN )		2019 4069 2S156 2K078
102-121	02 PİN	          HYUNDAI      	51-1445 IS MAKINASI & HYUNDAİ SOKETI ( 2 PIN )		2033A 2K033A 2033 2S128 2K033A
102-121-1	02 PİN	          HYUNDAI      	IS MAKINASI & HYUNDAİ SOKETI ( 2 PIN )		2K033B
102-122	02 PİN	                	51-1445-1 IS MAKINASI SOKETI KARSILIGI ( 2 PIN )		2034 2S127
102-123	02 PİN	                	51-1418 IS MAKINESİ / AĞIR TİCARİ  SOKETI ( 2 PIN )		2063 2K063 5260 2S162 2063 2K063
102-124	02 PİN	                	51-1488 ROVER BOBIN SOKETI ( 2 PIN )		2062 2K062 5960 2S084 2062 2K062
102-124-1	02 PİN	                	SOKET (2 PİN)		2S068 2018AA
102-125	02 PİN	       FORD         	51-1148 HAVA YASTIĞI SOKETİ FORD CONNECT (2 PİN)		2040 2K086B
102-125-1	02 PİN	       FORD         	51-1148 HAVA YASTIĞI SOKETİ FORD CONNECT (2 PİN)		2040 2K040 2S085 2040 2K040
102-125-2	02 PİN	       FORD         	51-1148 HAVA YASTIĞI SOKETİ FORD CONNECT (2 PİN)		2K086B
102-125-3	02 PİN	       FORD         	51-1148 HAVA YASTIĞI - AIRBAG SENSÖRÜ  SOKETİ FORD CONNECT (2 PİN)		2040A
102-125-4	02 PİN	                	MÜŞÜR SOKETİ (2 PİN)		2116 2K080
102-126	02 PİN	       FORD         	51-1320 FORD  SU MOTOR  SOKET - FOCUS FİESTA MONDEO TRANSİT YM ( 2 PIN )		2018B 2K018B 5541C 2S066 2018B 2K018B
102-127	02 PİN	       FORD         	51-1506 FORD SENSÖR SOKETİ ( 2 PIN )		2018A 2K018AB 2S067 2018B
102-127-1	02 PİN	       FORD         	51-1506 FORD SENSÖR SOKETİ ***SİYAH (2 PİN)		2S068 2018A
102-128K	02 PİN	       FORD         	51-1319  FORD SOKET ( 2 PIN )		2K018A 2018A 2K018A
102-128-1	02 PİN	       FORD         	FORD SENSÖR SOKETİ ( 2 PIN )		2097
102-130	02 PİN	                	51-1254 AIRBAG SOKETI TURUNCU ( 2 PIN )		
102-131-S	02 PİN	                	51-1254-1 AIRBAG SOKETI SIYAH ( 2 PIN )		2073 2K073 2S149 2073 2K073
102-131-SARI	02 PİN	                	AİRBAG SOKETİ SARI (2 PİN)		2074B 2K074A
102-131-T	02 PİN	                	51-1254-2 AIRBAG SOKETI TURUNCU ( 2 PIN )		2074 2K074 2074
102-131-M	02 PİN	RENAULT                	AIRBAG SOKETI RENAULT MAVI ( 2 PIN )		2074 2K074 2074 0-1801427-1
102-131-Y	02 PİN	RENAULT                	AIRBAG SOKETI RENAULT YESIL ( 2 PIN )		2074 2K074 2074 1801425-2
102-132	02 PİN	                	51-1384 G. PUNTO EGEA DİJİTAL P5008 P508 KALORIFER REZİSTANS SOKETI ( 2 PIN )		2019A 2019 2S143 2K019A
102-132-1	02 PİN	  PEUGEOT OPEL             	51-1384 G. PUNTO EGEA DİJİTAL P5008 P508 KALORIFER REZİSTANS SOKETI ( 2 PIN )		2019B 2018 2S144 2K019
102-133	02 PİN	    VOLKSWAGEN            	51-1592 VW MÜŞÜR VE SENSÖR SOKETİ ( 2 PIN )		2078 2K078 2078
102-134	02 PİN	    VOLKSWAGEN            	51-1594 VW MÜŞÜR VE SENSÖR SOKETİ ( 2 PIN )		2019B
102-135	02 PİN	    VOLKSWAGEN         VOLVO   	51-1414 VOLKSWAGEN/VOLVO BOBIN SOKETI ( 2 PIN )		2070 2K070 2121 2S148 2070 2K070A
102-136	02 PİN	                	51-1382 DELPHI 2 Lİ MOR KİLİT  SOKET LAND / RANGE ROVER FAR SOKETİ ( 2 PIN )		2K014 2S146 2014 2K014
102-137	02 PİN	                	51-1507 SOKET ( 2 PIN )		2091
102-138	02 PİN	              ISUZU  	51-1470 JAPON ISUZU SENSÖR  SOKET ( 2 PIN )		2065 2K065 2S112 2065 2K065
102-138-1	02 PİN	                	51-1470    SOKET (2 PİN)		2K065A 2S113
102-139	02 PİN	     BMW           	BMW ABS SENSOR SOKETI  *** MAVİ	YENİ	2S136
102-140	02 PİN	                	51-1577 ENJEKTOR SOKETI ( 2 PIN )		2K082 2047 2K074
102-141	02 PİN	                	51-1511 SOKET ( 2 PIN )		5317B 2S178
102-142	02 PİN	                	51-1527 SOKET ( 2 PIN )		
102-143	02 PİN	                	51-1062 BIÇAK SIGORTA YUVASI & SOKETI ( 2 PIN )		
102-144	02 PİN	                	51-1517 MAXI SIGORTA YUVASI ( 2 PIN )		
102-145	02 PİN	     BMW           	51-1222-1 BMW ROLE SOKETI & CAM MOTOR SOKETİ ( 2 PIN )		
102-146	02 PİN	                	51-1460  AGIR VASITA MÜŞÜR SOKETİ EM. WEBOSTA  ****26 mm ( 2 PIN )		5794 2K091
102-146-1	02 PİN	                	51-1461 AGIR VASITA MÜŞÜR SOKETİ EM. WEBOSTA  ***23 mm ( 2 PIN )		5793 2K090
102-147	02 PİN	    VOLKSWAGEN            	51-1524 VW & AUDI 3. STOP SOKETİ ( 2 PIN )		
102-148	02 PİN	                	51-1525 LINEA BAGAJ SOKETI ( 2 PIN )		2S140
102-149	02 PİN	                	51-1149 WEBASTO ISITICI SENSOR SOKETI ( 2 PIN )		2K041 2K041A
102-150	02 PİN	                	51-1208 PARK SINYAL SOKETI ( 2 PIN )		2110A
102-151	02 PİN	 FIAT               	51-1377 HOPARLOR SOKETI FIAT ( 2 PIN )		2110
102-152	02 PİN	                	51-1582 İŞ MAKİNASI DELPHİ DİŞİ  SOKET ( 2 PIN )		2K068 2S168 2K068
102-152-1	02 PİN	       FORD         	DELPHİ FORD GERİ VİTES MÜŞÜR SOKETİ		2068 2K068A 5307 2068
102-153	02 PİN	                	51-1582-1 İŞ MAKİNESİ DELPHİ ERKEK  SOKET KARSILIGI ( 2 PIN )		2K068E 2S169 2068E
102-153-1	02 PİN	       FORD         	DELFİ FORD GERİ VİTES MÜŞÜR SOKETİ KARŞILIĞI (2 PİN)		2068E 2K068AE
102-154	02 PİN	                	İŞ MAKİNASI SOKETİ - JAPON TİP ( 2 PIN )		2115 2K027AE
102-154-1	02 PİN	                	İŞ MAKİNASI SOKETİ - JAPON TİP ***KARŞILIĞI ( 2 PIN )		2115E
102-155	02 PİN	       FORD         	51-1614 FORD TAVAN LAMBA & 3. STOP SOKETI ( 2 PIN )		2102 2K082
102-156	02 PİN	      MERCEDES          	51-1618 MERCEDES BENZ VALF SOKETİ ( 2 PIN )		2081 2K081 2015Y 2081 2K075Y
102-157	02 PİN	                	51-1593 KM SOKETİ AĞIR VASITA  ( 2 PIN )		2079 2K079 2S137 2079 2K079
102-158	02 PİN	         TOYOTA       	TOYOTA YARIS KRANK DEVİR SENSÖR SOKETİ (2 PİN)		2094 2144
102-159	02 PİN	                	İŞ MAKİNASI SOKETİ (2 PİN)		2084 2K084 2084 2K070
102-160	02 PİN	                	İŞ MAKİNASI SOKETİ (2 PİN)		2K083 2S114
102-161	02 PİN	         TOYOTA HYUNDAI      	ABS SOKETİ JAPON TİP (2 PİN)		2112
102-162	02 PİN	       FORD         	FAN SOKETİ FORD / JAPON (2 PIN)		2047A
102-163	02 PİN	     BMW MERCEDES          	MERCEDES BMW SOKET (2 PIN)	YENİ	2096
102-164	02 PİN	     BMW           	BMW KORNA / GÜNDÜZ FAR SOKETİ (2 PIN)	YENİ	2007F
103-001	03 PİN	               PMC 	51-1001-1 BOSCH TIPI SOKET CLİO KNG MGN 1.5 DCİ MAP SOKETİ  ***OEM  ***ÇERÇEVELİ   ***KİLİTLİ MTA		
103-001*	03 PİN	RENAULT FIAT  OPEL    FORD NISSAN        	51-1001    BOSCH TİPİ SOKET ÇERÇEVELİ (3 PİN)		
103-001-1	03 PİN	RENAULT FIAT  OPEL    FORD NISSAN        	51-1001 BOSCH TIPI SOKET CLİO KNG MGN 1.5 DCİ MAP SOKETİ  FIAT/FORD/JAPON/NISSAN/OPEL/RENAULT  ***ÇERÇEVELİ		3008A 5694 3S066 3K008
103-002	03 PİN	                	51-1419 BOSCH TIPI SOKET KARSILIGI ( 3 PIN )		3008E 6064 3K008E
103-003	03 PİN	RENAULT FIAT PEUGEOT     FORD      VOLVO  PMC 	51-1010 SIGMA SOKET ( 3 PIN ) ORJINAL		3007 3K007 6061 3S067 3007 3K007
103-003-G	03 PİN	                	SİGMA 3 LÜ SOKET  *** GRİ		
103-003-Y	03 PİN	                	SİGMA 3 LÜ SOKET  *** YEŞİL		
103-003-K	03 PİN	                	SİGMA 3 LÜ SOKET  *** KAHVERENGİ		
103-003-SARI	03 PİN	                	SİGMA 3 LÜ SOKET  *** SARI		
103-003-SIYAH	03 PİN	                	SİGMA 3 LÜ SOKET  *** SİYAH		
103-003-E	03 PİN	                	SİGMA 3 Lİ SOKET ** ÇERÇEVELİ / *** EURO	YENİ	3007A
103-003-E-1	03 PİN	                	SİGMA 3 Lİ SOKET ** ÇERÇEVELİ / *** EURO  /  *** TESİSATTAN KESME		
103-003-YMG	03 PİN	                	SİGMA 3 LÜ SOKET ** ÇERÇEVELİ Y.M / *** GRİ		SOKETSAN
103-003-YMB	03 PİN	                	SİGMA 3 LÜ SOKET ** ÇERÇEVELİ Y.M / *** BEYAZ		3007B SOKETSAN
103-003-YMY	03 PİN	                	SİGMA 3 LÜ SOKET ** ÇERÇEVELİ Y.M / *** YEŞİL		3007B SOKETSAN
103-003-YMM	03 PİN	                	SİGMA 3 LÜ SOKET ** ÇERÇEVELİ Y.M / *** MAVİ		3007B SOKETSAN
103-003-YMK	03 PİN	                	SİGMA 3 LÜ SOKET ** ÇERÇEVELİ Y.M / *** KIRMIZI		3007B SOKETSAN
103-004	03 PİN	                	51-1011 SIGMA SOKET KARSILIGI ( 3 PIN )		3007E 6061B 3S068 3K007E
103-005	03 PİN	RENAULT                	51-1012-2 RENAULT KM KAPTOR - ISI MUSUR SOKETI  MGN CLİO KNG MST  ( 3 PIN )		3009 3K009 5502 3S060 3009 3K009
103-006	03 PİN	RENAULT FIAT  OPEL             	51-1013-2  KLIMA BASINÇ MUSURU - POTANSIYOMETRE SOKETI ( 3 PIN )		3010 3K010 5510 3S059 3010 3K010
103-007	03 PİN	                	51-1023 BOBIN-OKSIJEN SENSOR SOKETI YUVARLAK ERKEK TERMINAL ( 3 PIN )		3000 3K000 3S062 3000 3K000
103-007-1	03 PİN	                	51-1023-1 BOBIN-OKSIJEN SOKETI YUVARLAK DISI TERMINAL ( 3 PIN )		3000A 3K000A 3S063
103-007-2	03 PİN	                	51-1023-1    BOBİN-OKSİJEN SOKETİ YUVARLAK ERKEK TERMİNAL (3 PİN)		3000E 5677 3K000E 3K00E
103-008	03 PİN	RENAULT                	51-1025 R9 / 11 CAM SU MOTOR-FAR MOTORU SOKETI ( 3 PIN )		3003 3K003 5509 3S061 3003 3K003
103-009	03 PİN	RENAULT FIAT  OPEL             	51-1037-1 UNIVERSAL TELLİ SOKET (3 PİN)		3006 3K006 5503 3S045 3006 3K006
103-009-3	03 PİN	  PEUGEOT              	51-1037-3 GRİ PEUGEOT KM SENSÖR SOKETİ ( 3 PIN )	YENİ	3006A 3K006A 3S047 3006A 3K006A
103-009-4	03 PİN	    VOLKSWAGEN            	51-1037-4 VW POLO DİSTRİBİTÖR SOKETI ( 3 PIN )	YENİ	3006D 3315 3K006D
103-010	03 PİN	                	51-1038 UNIVERSAL SOKET *** KARSILIGI ( 3 PIN )		5503B 3S045
103-011	03 PİN	    VOLKSWAGEN            	51-1352 VW POLO BOBIN & VW KM SENSÖR SOKETI  ( 3 PIN )	YENİ	3006B 3K006B 3313 3S049 3006B 3K006B
103-012	03 PİN	    VOLKSWAGEN            	51-1364 VW  SOKET ( 3 PIN )		3006C 3S052 3006C 3K006C
103-013	03 PİN	       FORD         	51-1046 FORD FOCUS ESCORT BOBIN SOKETI ( 3 PIN )		3019 3K019 5611 3S051 3019 3K019
103-014K	03 PİN	 FIAT               	51-1051 SUPER SEAL SOKET ( 3 PIN )		3001 5698 3S053 3001 3K001
103-014-1	03 PİN	RENAULT                	MAP SENSÖRÜ SOKETİ RENAULT MEGANE-CLIO-FLUENCE (3 PINLI)	YENİ	3001B 3S055
103-014-2	03 PİN	 FIAT               	KRANK DEVİR SENSÖRÜ SOKETİ *** FIAT TEMPRA - TIPO ( 3 PIN)	YENİ	3002A 3S056 3K053
103-015K	03 PİN	                	51-1052 SUPER SEAL SOKET KARSILIGI ( 3 PIN )		3001E 3K001E 5690 3S054 3001E 3K001E
103-016	03 PİN	RENAULT FIAT PEUGEOT              	51-1065 KELEBEK POTANSIYOMETRE SOKETI ( 3 PIN ) TOFAŞ FİAT RENAULT PEUGEOT		3002 3K002 2327 3S057 3002 3K002
103-017	03 PİN	          HYUNDAI      	51-1556 HYUNDAİ KİA FAR AYAR MOTOR SOKETİ ( 3 PIN )		3327
103-018	03 PİN	    VOLKSWAGEN            	51-1099 VW KARTER SONDA - VW KİLOMETRE SOKETİ D SOKET INCE ( 3 PIN )		3011 3K011 5783 3S001 3011 3K011
103-019	03 PİN	    VOLKSWAGEN            	51-1106 VW VOLANT SENSOR SOKET KARSILIGI *** ÜST TIRNAK ( 3 PIN )		3011B 3K011B 5680 3S003 3011B 3K011B
103-019-2	03 PİN	    VOLKSWAGEN            	51-1106-2 VW VOLANT SENSOR SOKET KARSILIGI D TİPİ ***DÜZ ( 3 PIN )		3011A 3K011A 5680B 3S002 3011A 3K011A
103-020	03 PİN	    VOLKSWAGEN BMW          PMC 	51-1292 VW & BMW RAİL MÜŞÜR SOKETİ D TİPİ ( 3 PIN )		3034 3K034 5270 3S005 3034 3K034
103-020-1	03 PİN	    VOLKSWAGEN BMW           	VOLKSWAGEN - BMW MÜŞÜR SOKETİ (3 PİN)		3034A 3K034A 3S007
103-021	03 PİN	    VOLKSWAGEN            	51-1293 VW SİGORTA KUTU & FAN MOTOR SOKETİ D TİPİ ( 3 PIN )		3036 3K036 3351 3S009 3036 3K036
103-022	03 PİN	                	51-1549 HONDA BOBİN SOKETİ ( 3 PIN )		3044 3K044 3011 3S035 3044 3K044
103-022-1	03 PİN	                	SOKET (3 PİN)	YENİ	3K044A 3K044A
103-023	03 PİN	 FIAT  OPEL             	51-1085 FİAT & OPEL 1.3 MJET EKSANTRIK SENSOR SOKETI ( 3 PIN )	YENİ	3016 3K016 6063 3S069 3016 3K016
103-024	03 PİN	       FORD      VOLVO   	51-1088 FORD & VOLVO SENSOR SOKETI ( 3 PIN )		3005 3K005 4017 3S086 3005 3K005
103-025	03 PİN	       FORD         	51-1163 FORD GERİ VİTES MUSUR SOKETI ( 3 PIN )		3023B 3K023B 5775 3S096 3023B 3K023B
103-026	03 PİN	   OPEL             	51-1072 OPEL FAN MÜŞÜR SOKETİ (3 PİN)	YENİ	3015 3K015A 3S014
103-026-1	03 PİN	                	51-1444 TEMPRA & TİPO FAN MUSUR SOKETI ( 3 PIN )		3015A 3K015 3025 3S013 3015A 3K015
103-027	03 PİN	    VOLKSWAGEN            	51-1108 VW POLO FAN MUSUR SOKETI ( 3 PIN )		3035 3K035 5822 3S012 3035 3K035
103-028	03 PİN	  PEUGEOT   BMW           	51-1569 BMW & PEUGEOT BOBİN SOKETI ( 3 PIN )		3033 3K033 3060B 3S016 3033
103-029	03 PİN	         TOYOTA HYUNDAI      	51-1248 TOYOTA  - HYUNDAI - KIA KILOMETRE SOKETI ( 3 PIN )		3032 3K032 5265 3S015 3032 3K032
103-030	03 PİN	         TOYOTA       	51-1365 TOYOTA & HONDA MÜŞÜR SOKETI ( 3 PIN )		3023C 3K023C 3060 3S025 3023C
103-031	03 PİN	         TOYOTA       	51-1548 TOYOTA & HONDA MÜŞÜR SOKETI GRİ ( 3 PIN )		3043 3K043 3034 3S024 3043
103-031-1	03 PİN	         TOYOTA       	51-1548-1 TOYOTA & HONDA MÜŞÜR SOKETI SİYAH ( 3 PIN )		3045 3K045 3S023 3045 3K045
103-032K	03 PİN	                	51-1302K İŞ MAKİNASI DEUTSCH SOKET ***KABLOLU ( 3 PIN )		3031 3K031 4053 3S098 3031 3K031K
103-033K	03 PİN	                	51-1301 İŞ MAKİNASI DEUTSCH SOKET KARSILIGI UCGEN ***KABLOLU  ( 3 PIN )		3031E 3K031E 4052 3S099 3031E 3K031EK
103-034	03 PİN	       FORD         KONJEKTOR	51-1495 FORD MONDEO TRANSİT EKSANTRİK SENSÖR SOKETI  2.0 TDCİ 2.2 TDCİ ( 3 PIN )		3046 3K046 3S033 3046 3K046
103-035	03 PİN	    VOLKSWAGEN            	51-1250 VW & AUDİ HARARET MÜŞÜR SOKETI ( 3 PIN )		
103-036	03 PİN	                	51-1497 HONDA MUSUR SOKETI ( 3 PIN )		3041 3K041 5318 3S032 3041 3K041
103-037	03 PİN	        NISSAN        	51-1481-1 9004-9007 FAR SOKETI MAVI ( 3 PIN ) ***KALIN KABLO		HB9004 HB9004 9007 3S034
103-038	03 PİN	                	51-1257 H4 AMPUL SOKETI ***1,5 MM KABLOLU ( 3 PIN ) ATOM FAR FİŞİ		H4 HB04
103-038-1	03 PİN	                	51-1257-1 H4 AMPUL SOKETI ***1,5 MM KABLOLU ( 3 PIN ) ATOM FAR FİŞİ		
103-039	03 PİN	          HYUNDAI      	51-1389 HYUNDAİ KİA CAM SU FISKİYE MOTOR SOKETI ( 3 PIN )		3020 3K020 3S026 3020 3K020
103-040	03 PİN	    VOLKSWAGEN            	51-1294 VW FAN MÜŞÜR SOKETI ( 3 PIN )		3037 3K037 3312 3S011 3037 3K037
103-041	03 PİN	          HYUNDAI      	51-1483 HYUNDAİ KİA CAM SU FISKIYE MOTOR SOKETI ( 3 PIN )		3322
103-042	03 PİN	       FORD         	51-1166 FORD FOCUS CONNECT EKSANTRİK SENSÖR SOKETI 1.6 TDCİ 1.8 TDCİ ***GRİ ( 3 PIN )		3026 3K026 5609 3S085 3026 3K026
