SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
23-2104	TOYOTA - LAND CRUISER	***YEŞİL	HARARET MUSURU TOYOTA COROLLA ( 85-93 ) - LAND CRUISER ( 84-96 ) ( 2 PIN YESIL )		89422-12010 - 89422-30020 -	102-015K			
23-2105	TOYOTA		HARARET MUSURU TOYOTA  AURIS - AVENSIS II/III ( 03-18 ) -YARIS - COROLLA IX/X/XI/XII ( 2 PIN )		89422-0H010 - 89422-06010 - 89429-47010	102-081			
23-2106	TOYOTA		HARARET MÜŞÜRÜ TOYOTA AVENSIS-HILUX-LAND CRUISER		89454-60020 - 89454-20010	102-081			
23-2200	HYUNDAI	***SİYAH	HARARET MUSURU HYUNDAI ACCENT - ELANTRA ( 06-16 ) - GETZ ( 02-09 ) - I10-I20-I30-IX35-TUCSON ( 3 PIN )		39220-38020 - 39220-38030 - 39230-26700	103-053			
23-2201	HYUNDAI		HARARET MUSURU HYUNDAI H100		94650-42051  94650-42050   KOR-94650-42051-INZW				
23-2202	HYUNDAI	***YEŞİL	HARARET MUSURU HYUNDAI H100 KMY ( 3 PIN YESIL )		39220-42700 34079	103-053			
23-2203	HYUNDAI	***KABLOLU	HARARET MUSURU HYUNDAI ACCENT 1,5 STAREX ( 3 PIN KABLOLU )		39230-26600 - 39230-4A000 -	103-029			
23-2204	HYUNDAI - KIA	***SİYAH	HARARET MUSURU HYUNDAI GETZ ( 02-09 ) - IX35 ( 10-13 ) - KIA SPORTAGE ( 10-13 ) ( 4 PIN SIYAH )		39220-02500 - 39220-02510 - 39220-02520	103-034			
23-2300	MITSUBISHI - HYUNDAI		HARARET MUSURU HYUNDAI SONATA & MITSUBISHI CARISMA ( 2 PIN )		39220-35710 - 1308A012 - MD177572	102-081			
23-2301	MITSUBISHI - HYUNDAI		HARARET MUSURU LANCER-COLT- SORENTO-SPORTAGE-H100-TUCSON ( 2 PIN )		MD-149338 - 39220-35510 - 39220-35520	102-015K			
23-2302	MITSUBISHI - HYUNDAI		HARARET MUSURU MITSUBISHI L300 - H100 ( 2 FISLI )		MD-005051 - MD-050214 -				
23-2303	MITSUBISHI	***INCE	HARARET MUSURU MITSUBISHI CANTER ( TEK FIS INCE )		31390-00100 KW-704				
23-2400	MAZDA		HARARET MUSURU MAZDA 323-626-929-RX 7		856918510 - 856918510A -				
23-2401	TOYOTA-MAZDA	***GRİ	HARARET MÜŞÜRÜ MAZDA SUZUKI (3 PİN GRİ)		89422-16010	103-031			
23-2600	ISUZU		HARARET MÜŞÜRÜ ISUZU D-MAX 2.5 D		94235691 - 94237861 - 8-94235691-0				
23-2700	SUZUKI		HARARET MUSURU SUZUKI SWIFT-VITARA		3485084000				
23-2703	SUZUKI		HARARET MUSURU SUZUKI VITARA I OFF-ROAD ( 90-99 ) ( 113°C )		95573-60A50 35670				
23-2704	SUZUKI		HARARET MUSURU SUZUKI SWIFT-ALTO-VITARA		34580-82000 - 34850-82001 - 34850-50A00				
23-2900	LAND ROVER		HARARET MUSURU LAND ROVER		PRC9942 31740				
23-2901	LAND ROVER	***YEŞİL	HARARET MUSURU RANGE ROVER ( 94-02 ) - DISCOVERY ( 89-98 ) ( YESIL )		AMR1425 - GTR203				
23-2902	LAND ROVER		HARARET MUSURU LAND ROVER		623050 - GTR101 -				
23-2903	LAND ROVER	***KAHVERENGİ	HARARET MUSURU LAND ROVER FREELANDER 1.8 16V 98-06 18K4F ( 2 PIN KAHVERENGI )		MEK100060L - GTR206 -	102-015K			
23-2904	LAND ROVER	***TEK FIS KABLOLU	HARARET MUSURU LAND ROVER FREELANDER I ( 98-00 ) ( TEK FIS KABLOLU )		ERR6397				
23-9000	UNIVERSAL-HYUNDAI - KIA - TOYOTA - MAZDA		HARARET MUSURU HYUNDAI KIA TOYOTA MAZDA		94650-32520 - 94247437 - 8342016020				
23-9001	UNIVERSAL-TOYOTA-MAZDA-SUZUKI	***İNCE UÇ	HARARET MÜŞÜRÜ TOYOTA CORALLA MAZDA SUZUKI (İNCE UÇ)		89422-20010 - 13650-51G10 -	102-081-7			
23-9001-1	UNIVERSAL-TOYOTA - MAZDA - SUZUKI	***KALIN UÇ	HARARET MÜŞÜRÜ TOYOTA CORALLA MAZDA SUZUKI (KALIN UÇ)		89422-20010 - 13650-51G10	102-081-7			
23-9002	UNIVERSAL		HARARET MUSURU DAF-TEMSA		1426321 - 1827058	102-001			
23-9003	UNIVERSAL-HONDA - LAND ROVER - SUZUKI		HARARET MUSURU HONDA-ROVER-SUZUKI		37750-PH2-004 - 37750-PH2-014 - 34850-70B10				
23-9005	UNIVERSAL-AUDI - BMW - VOLVO	***BEYAZ	HARARET MUSURU AUDI-BMW-VOLVO ( 2 PIN BEYAZ )		035919369M - 127549-4 - 1626473	102-015K			
23-9006	UNIVERSAL-KIA - NISSAN	***KIRMIZI	HARARET MUSURU KIA-NISSAN ( 2 PIN KIRMIZI )		22630-51E00 - 22630-51E10 - 0K95B-18840	102-015-1			
23-9006-1	UNIVERSAL-KIA - NISSAN	***BEYAZ	HARARET MUSURU KIA-NISSAN ( 2 PIN BEYAZ )		22630-51E00 - 22630-51E10 - 0K95B-18840	102-015-1			
23-9008	UNIVERSAL-HYUNDAI - MITSUBISHI		HARARET MUSURU HYUNDAI H100- MITSUBISHI		MD-069879 - 39220-21330 - 39220-21310				
23-9010	UNIVERSAL-VOLVO		HARARET MUSURU VOLVO		3205685 - 32056855 - 3432833				
23-9011	UNIVERSAL-VOLVO - LAND ROVER - JAGUAR	***YEŞİL	HARARET MUSURU VOLVO-LAND ROVER-JAGUAR		31272619 - LR23147 - 0281002621	102-001			
23-9012	UNIVERSAL-VOLVO		HARARET MUSURU VOLVO		3455171 - 34551713 - 3467590				
23-9013	UNIVERSAL-VOLVO		HARARET MUSURU VOLVO 340-360 ( 82-91 )		3204913 - 32049132 - 3204913-2 - 7.3085				
23-9014	UNIVERSAL-VOLVO	***KABLOLU	HARARET MUSURU VOLVO S40 I-S60 I-S70-S80 I-V40-V70 I/II ( 2 PIN KABLOLU )		9125463				
23-9015	UNIVERSAL-SAAB	***KABLOLU	HARARET MUSURU SAAB		90490017 - 9182270 -				
